name,brand,address,lat,lon
NTUC FairPrice Xtra,NTUC Fairprice,Changi Business Park Avenue 1,1.3348478,103.9637744
NTUC Fairprice,NTUC Fairprice,Jalan Bukit Merah,1.2864788,103.8083891
NTUC FairPrice,,,1.3158326,103.8982559
NTUC FairPrice,NTUC Fairprice,,1.3923315,103.872624
NTUC FairPrice,,,1.3425048,103.7393663
NTUC FairPrice,,,1.3455068,103.7311864
NTUC Fairprice,NTUC Fairprice,Jurong West Street 41,1.3485084,103.7241529
NTUC FairPrice,,,1.4170652,103.8353476
NTUC FairPrice,,Choa Chu Kang Street 51,1.3920764,103.7429541
NTUC FairPrice,NTUC Fairprice,,1.3317511,103.8791816
NTUC Fairprice,NTUC Fairprice,,1.4112844,103.8435315
NTUC Fairprice,NTUC Fairprice,,1.4027599,103.9133166
NTUC Fairprice,NTUC Fairprice,,1.2863838,103.8142036
NTUC FairPrice Finest,NTUC FairPrice Finest,The Seletar Mall,1.3911684,103.8759756
NTUC FairPrice,NTUC Fairprice,,1.3540387,103.8707537
NTUC FairPrice,NTUC Fairprice,,1.3364335,103.8888115
NTUC FairPrice,NTUC Fairprice,,1.3554024,103.9325575
NTUC FairPrice,NTUC Fairprice,,1.3472751,103.9569647
NTUC FairPrice,NTUC Fairprice,,1.3126523,103.8727631
NTUC FairPrice,NTUC Fairprice,,1.3388217,103.8489919
NTUC FairPrice,NTUC Fairprice,,1.3117956,103.7591074
NTUC FairPrice,NTUC Fairprice,,1.3320147,103.7226023
NTUC FairPrice Finest,,,1.4180875,103.8410061
NTUC FairPrice,NTUC Fairprice,Yishun Ring Road,1.4246275,103.8466717
Cold Storage,,Greenwood Avenue,1.3314654,103.8067968
Cold Storage,,Straits View,1.2775827,103.8525052
Cold Storage,,Dunearn Road,1.3368125,103.783834
NTUC FairPrice Xtra,NTUC FairPrice,,1.2647712,103.8230258
Giant Express,,Blk 468B Admiralty Drive,1.4499976,103.81414
Giant,,Blk 161 Ang Mo Kio Avenue 4,1.3742656,103.8392817
Sheng Siong,Sheng Shiong,Penjuru Walk,1.319175,103.7333208
Sheng Siong,,Bukit Batok East Avenue 6,1.3444059,103.7553403
Sheng Siong,,Bukit Batok West Avenue 8,1.3474556,103.7437317
Sheng Siong,,Woodlands Industrial Park E7,1.4507862,103.7968231
Sheng Siong,Sheng Siong,Fajar Road,1.3839521,103.7708865
Sheng Siong,,Woodlands Drive 16,1.4311005,103.7985065
Sheng Siong,Sheng Siong,Woodlands Rise,1.4468922,103.8055002
Sheng Siong,,Canberra Street,1.4489117,103.8323549
Sheng Siong,Sheng Siong,Yishun Street 81,1.4160254,103.8349534
Sheng Siong,,Yishun Avenue 4,1.4201172,103.8435501
Sheng Siong,Sheng Siong,Tampines Central,1.3561466,103.9459483
Sheng Siong,,Upper Boon Keng Road,1.3140474,103.8704826
Sheng Siong,Sheng Siong,Dawson Road,1.2954188,103.8100462
Sheng Siong,Sheng Siong,McNair Road,1.3216926,103.8596186
Sheng Siong,Sheng Siong,Bedok North Road,1.3313147,103.9366634
Sheng Siong,Sheng Siong,Pasir Ris Street 21,1.3670929,103.9647716
Sheng Siong,Sheng Siong,Pasir Ris Street 51,1.3696509,103.9479234
Sheng Siong,Sheng Siong,Anchorvale Road,1.393146,103.8870307
Sheng Siong,Sheng Siong,Upper Thomson Road,1.3518705,103.8360699
Sheng Siong,,Elias Road,1.3783709,103.9419858
Sheng Siong,Sheng Siong,Lorong 7 Toa Payoh,1.3390393,103.8554033
Sheng Siong,Sheng Siong,Fernvale Link,1.3917064,103.8801703
Sheng Siong,Sheng Siong,Fernvale Street,1.3978089,103.8813041
Sheng Siong,Sheng Siong,Edgedale Plains,1.402634,103.9165726
Sheng Siong,Sheng Siong,Punggol Central,1.4037905,103.9061683
Giant,,Sembawang Drive,1.4524553,103.8172929
Giant,,"Blk 548 Woodlands Drive 44, Vista Point",1.4311426,103.7941833
Giant,,Ang Mo Kio Street 31,1.3647722,103.847405
Giant,,Blk 671 Edgefield Plains,1.4057405,103.912079
Giant,,Blk 525 Ang Mo Kio Avenue 10,1.372842,103.8539753
Giant,,"201 Yishun Avenue 2, Khatib MRT Station",1.4171386,103.832905
Giant,,Blk 622D Punggol Central,1.4005639,103.9105302
Giant,,Blk 293 Yishun St 22,1.4364339,103.8374596
Giant,,Blk 418 Yishun Avenue 11,1.4250761,103.8473487
Giant Bishan 512,,Bishan Street 13,1.3497162,103.8499272
Giant,,Blk 8 Telok Blangah Crescent,1.2777804,103.8192758
Giant,,Blk 86 Redhill Close,1.2869001,103.8184225
Giant Express,,"Blk 445 Fajar Road, Fajar Shopping Centre",1.3833813,103.7711297
Giant,,Serangoon Central Drive,1.3533018,103.8714468
Giant Hougang 683,,Hougang Avenue 8,1.3737908,103.8861522
Giant,,Tampines Street 32,1.3543836,103.9602606
Giant,,Pasir Ris Drive 4,1.3690709,103.9585122
Giant,,Pasir Ris Street 71,1.3749201,103.9369569
Giant,,Pasir Ris Street 21,1.3663512,103.9645143
Giant,,Tampines Street 81,1.3492091,103.9348376
Giant,,Bedok North Street 3,1.3337835,103.9308648
Giant,,Paya Lebar Road,1.3191162,103.8924825
Giant,,Marine Terrace,1.3056156,103.9154038
Ang Mo Supermarket,,Canberra Crescent,1.4456364,103.8310112
Ang Mo Supermarket,Ang Mo,Bishan Street 24,1.3580864,103.8442103
Ang Mo Supermarket,,Ang Mo Kio Avenue 10,1.3618993,103.8554186
Ang Mo Supermarket,,Hougang Avenue 8,1.3716327,103.8802545
Ang Mo Supermarket,,Punggol Drive,1.3994303,103.9161651
Ang Mo Supermarket,,Punggol Field,1.3993974,103.9064796
Cold Storage,,Marine Parade Road,1.3008369,103.9054998
