key,lat,lon
sec:Edgefield Secondary School,1.4001965,103.9023095
sec:Evergreen Secondary School,1.4417392,103.7940238
sec:Fairfield Methodist School,1.3008445,103.7856652
sec:Fuchun Secondary School,1.4307225,103.7772979
sec:Fuhua Secondary School,1.3473108,103.7270228
sec:Gan Eng Seng School,1.2894326,103.8236379
sec:Geylang Methodist School,1.3176038,103.8832512
sec:Greendale Secondary School,1.397582,103.9115751
sec:Greenridge Secondary School,1.3753024,103.7639957
sec:Guangyang Secondary School,1.3449171,103.849934
sec:Hai Sing Catholic School,1.3745734,103.9551579
sec:Hillgrove Secondary School,1.3533675,103.7529905
sec:Holy Innocents’ High School,1.3716598,103.8957436
sec:Hougang Secondary School,1.3777626,103.8824589
sec:Hua Yi Secondary School,1.3520885,103.7216252
sec:Hwa Chong Institution,1.3262797,103.8035258
sec:Junyuan Secondary School,1.3531753,103.9335447
sec:Jurong Secondary School,1.33031,103.7239742
sec:Jurong West Secondary School,1.3354612,103.7024026
sec:Jurongville Secondary School,1.3512965,103.7289774
sec:Juying Secondary School,1.3382665,103.6873004
sec:Kent Ridge Secondary School,1.3013199,103.7650401
sec:Kranji Secondary School,1.3905631,103.7411483
sec:Loyang Secondary School,1.3664422,103.9575296
sec:Manjusri Secondary School,1.3275613,103.9017139
sec:Maris Stella High School,1.342016,103.8782516
sec:Marsiling Secondary School,1.4373189,103.7759431
sec:Mayflower Secondary School,1.3687614,103.8356446
sec:Meridian Secondary School,1.3675753,103.9489427
sec:Methodist Girls’ School,1.3330844,103.7833955
sec:Nan Chiau High School,1.3894693,103.8900833
sec:Nan Hua High School,1.3084123,103.7690446
sec:Nanyang Girls’ High School,1.3305084,103.802324
sec:National Junior College,1.330727,103.8044167
sec:Naval Base Secondary School,1.419229,103.8309871
sec:New Town Secondary School,1.3098835,103.7736014
sec:Ngee Ann Secondary School,1.3543069,103.9566528
sec:North Vista Secondary School,1.3817373,103.8987395
sec:Northbrooks Secondary School,1.4212669,103.8447792
sec:Northland Secondary School,1.4357105,103.8407195
sec:Orchid Park Secondary School,1.4157794,103.8380948
sec:Outram Secondary School,1.2862763,103.8371267
sec:Pasir Ris Crest Secondary School,1.37271,103.959761
sec:Pasir Ris Secondary School,1.3547059,103.9485272
sec:Pei Hwa Secondary School,1.3907596,103.878184
sec:Peicai Secondary School,1.3593814,103.8706469
sec:Peirce Secondary School,1.3664814,103.8295331
sec:Presbyterian High School,1.3832006,103.8428599
sec:Punggol Secondary School,1.4023982,103.9091468
sec:Queenstown Secondary School,1.2932897,103.8132567
sec:Queensway Secondary School,1.3002856,103.8020079
sec:Raffles Girls’ School,1.3429556,103.8433071
sec:Raffles Institution,1.3467461,103.8444567
sec:Regent Secondary School,1.393506,103.7509953
sec:River Valley High School,1.3433748,103.7093058
sec:Riverside Secondary School,1.4409819,103.7881434
sec:Sembawang Secondary School,1.4456529,103.8166628
sec:Seng Kang Secondary School,1.3864773,103.8986809
sec:Serangoon Garden Secondary School,1.3696622,103.8689838
sec:Serangoon Secondary School,1.37496,103.902036
sec:Singapore Chinese Girls’ School,1.3210713,103.8275742
sec:Springfield Secondary School,1.349994,103.9299857
sec:St. Andrew’s Secondary School,1.3311102,103.8661242
sec:St. Anthony’s Canossian Secondary School,1.334946,103.9423636
sec:St. Gabriel’s Secondary School,1.3467307,103.8754382
sec:St. Hilda’s Secondary School,1.350089,103.9369951
sec:St. Joseph’s Institution,1.3242,103.8283264
sec:St. Margaret’s Secondary School,1.3201687,103.8101211
sec:St. Patrick’s School,1.3081907,103.9170697
sec:Swiss Cottage Secondary School,1.36456,103.7504331
sec:Tampines Secondary School,1.3494462,103.9441023
sec:Tanglin Secondary School,1.3109145,103.7576766
sec:Tanjong Katong Girls’ School,1.3079306,103.8964692
sec:Tanjong Katong Secondary School,1.3087439,103.8972354
sec:Teck Whye Secondary School,1.382366,103.7559991
sec:Temasek Junior College,1.3181342,103.9345803
sec:Temasek Secondary School,1.3163525,103.9478003
sec:Unity Secondary School,1.3997105,103.7460032
sec:Victoria School,1.3084391,103.9274219
sec:West Spring Secondary School,1.3882851,103.7598736
sec:Westwood Secondary School,1.3535728,103.7018025
sec:Whitley Secondary School,1.3554571,103.842662
sec:Woodgrove Secondary School,1.4283319,103.7965492
sec:Woodlands Ring Secondary School,1.436023,103.8004353
sec:Woodlands Secondary School,1.4396213,103.7743813
sec:Xinmin Secondary School,1.3725582,103.8829282
sec:Yio Chu Kang Secondary School,1.3784799,103.842108
sec:Yishun Secondary School,1.4279398,103.8290282
sec:Yishun Town Secondary School,1.4326646,103.8378851
sec:Yuan Ching Secondary School,1.3415913,103.7201412
sec:Yuhua Secondary School,1.3468883,103.7224251
sec:Yuying Secondary School,1.3570939,103.890709
sec:Zhenghua Secondary School,1.3891826,103.765189
sec:Zhonghua Secondary School,1.3485164,103.869346
